id,name,similar_questions
1105,Uncrossed Lines,['Edit Distance']
1104,Coloring A Border,['Island Perimeter']
1046,Max Consecutive Ones III,"['Longest Substring with At Most K Distinct Characters', 'Longest Repeating Character Replacement', 'Max Consecutive Ones', 'Max Consecutive Ones II']"
1045,Check If Word Is Valid After Substitutions,['Valid Parentheses']
1044,Find Common Characters,['Intersection of Two Arrays II']
1043,Grid Illumination,['N-Queens']
1042,Minimum Cost to Merge Stones,['Burst Balloons']
1040,Maximum Binary Tree II,['Maximum Binary Tree']
1039,Find the Town Judge,['Find the Celebrity']
1038,Number of Squareful Arrays,['Permutations II']
1037,Minimum Number of K Consecutive Bit Flips,['Bulb Switcher']
1036,Rotting Oranges,['Walls and Gates']
1035,Cousins in Binary Tree,['Binary Tree Level Order Traversal']
1034,Subarrays with K Different Integers,"['Longest Substring Without Repeating Characters', 'Longest Substring with At Most Two Distinct Characters', 'Longest Substring with At Most K Distinct Characters']"
1033,Broken Calculator,['2 Keys Keyboard']
1031,Add to Array-Form of Integer,"['Add Two Numbers', 'Plus One', 'Add Binary', 'Add Strings']"
1030,Smallest String Starting From Leaf,"['Sum Root to Leaf Numbers', 'Binary Tree Paths']"
1028,Interval List Intersections,"['Merge Intervals', 'Merge Sorted Array', 'Employee Free Time']"
1025,Minimum Cost For Tickets,['Coin Change']
1022,Unique Paths III,"['Sudoku Solver', 'Unique Paths II', 'Word Search II']"
1021,Distribute Coins in Binary Tree,"['Sum of Distances in Tree', 'Binary Tree Cameras']"
1020,Longest Turbulent Subarray,['Maximum Subarray']
1019,Squares of a Sorted Array,"['Merge Sorted Array', 'Sort Transformed Array']"
1018,Largest Perimeter Triangle,['Largest Triangle Area']
1016,Subarray Sums Divisible by K,['Subarray Sum Equals K']
1014,K Closest Points to Origin,"['Kth Largest Element in an Array', 'Top K Frequent Elements', 'Top K Frequent Words']"
1013,Fibonacci Number,"['Climbing Stairs', 'Split Array into Fibonacci Sequence', 'Length of Longest Fibonacci Subsequence']"
1008,Binary Tree Cameras,['Distribute Coins in Binary Tree']
915,Generate Random Point in a Circle,['Random Point in Non-overlapping Rectangles']
914,Random Point in Non-overlapping Rectangles,"['Random Pick with Weight', 'Generate Random Point in a Circle']"
912,Random Pick with Weight,"['Random Pick Index', 'Random Pick with Blacklist', 'Random Point in Non-overlapping Rectangles']"
907,Koko Eating Bananas,['Minimize Max Distance to Gas Station']
905,Length of Longest Fibonacci Subsequence,['Fibonacci Number']
894,Random Pick with Blacklist,"['Random Pick Index', 'Random Pick with Weight']"
885,Exam Room,['Maximize Distance to Closest Person']
884,K-Similar Strings,['Couples Holding Hands']
882,Peak Index in a Mountain Array,['Find Peak Element']
879,Maximize Distance to Closest Person,['Exam Room']
872,Split Array into Fibonacci Sequence,"['Additive Number', 'Fibonacci Number']"
866,Rectangle Overlap,['Rectangle Area']
863,Sum of Distances in Tree,['Distribute Coins in Binary Tree']
860,Design Circular Queue,['Design Circular Deque']
859,Design Circular Deque,['Design Circular Queue']
830,Largest Triangle Area,['Largest Perimeter Triangle']
817,Design HashMap,['Design HashSet']
816,Design HashSet,['Design HashMap']
810,Valid Tic-Tac-Toe State,['Design Tic-Tac-Toe']
809,Preimage Size of Factorial Zeroes Function,['Factorial Trailing Zeroes']
808,Number of Matching Subsequences,['Is Subsequence']
803,Cheapest Flights Within K Stops,['Maximum Vacation Days']
802,K-th Smallest Prime Fraction,"['Kth Smallest Element in a Sorted Matrix', 'Kth Smallest Number in Multiplication Table', 'Find K-th Smallest Pair Distance']"
800,Letter Case Permutation,"['Subsets', 'Brace Expansion']"
